symbol,n,median_spread,p75_spread,roundtrip_lower_bound,hours_utc,hours_kst
KRW-SHIB,100,0.001419,0.001423,0.002419,0|2|9|17|21|22,2|6|7|9|11|18
KRW-KAITO,100,0.002418,0.002430,0.003418,0|2|9|17|21|22,2|6|7|9|11|18
KRW-SUI,100,0.001016,0.002016,0.002016,0|2|9|17|21|22,2|6|7|9|11|18
KRW-MMT,100,0.004619,0.004640,0.005619,0|2|9|17|21|22,2|6|7|9|11|18
KRW-LINK,100,0.001290,0.001319,0.002290,0|2|9|17|21|22,2|6|7|9|11|18
KRW-PUMP,100,0.003300,0.003436,0.004300,0|2|9|17|21|22,2|6|7|9|11|18
KRW-NEAR,100,0.001145,0.001185,0.002145,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ZBT,100,0.008734,0.008889,0.009734,0|2|9|17|21|22,2|6|7|9|11|18
KRW-LA,100,0.001246,0.002296,0.002246,0|2|9|17|21|22,2|6|7|9|11|18
KRW-CHIP,100,0.003221,0.003350,0.004221,0|2|9|17|21|22,2|6|7|9|11|18
KRW-QUID,100,0.003277,0.003384,0.004277,0|2|9|17|21|22,2|6|7|9|11|18
KRW-PENGU,100,0.008734,0.008811,0.009734,0|2|9|17|21|22,2|6|7|9|11|18
KRW-AVAX,100,0.001018,0.001527,0.002018,0|2|9|17|21|22,2|6|7|9|11|18
KRW-VIRTUAL,100,0.002119,0.002158,0.003119,0|2|9|17|21|22,2|6|7|9|11|18
KRW-MOVE,100,0.008511,0.008584,0.009511,0|2|9|17|21|22,2|6|7|9|11|18
KRW-UNI,100,0.001755,0.001873,0.002755,0|2|9|17|21|22,2|6|7|9|11|18
KRW-PIEVERSE,100,0.001989,0.002096,0.002989,0|2|9|17|21|22,2|6|7|9|11|18
KRW-PRL,100,0.004963,0.005115,0.005963,0|2|9|17|21|22,2|6|7|9|11|18
KRW-HBAR,100,0.009852,0.009950,0.010852,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ONT,100,0.002751,0.004008,0.003751,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ENSO,100,0.002548,0.003384,0.003548,0|2|9|17|21|22,2|6|7|9|11|18
KRW-XPL,100,0.008811,0.008889,0.009811,0|2|9|17|21|22,2|6|7|9|11|18
KRW-SAHARA,100,0.008734,0.008811,0.009734,0|2|9|17|21|22,2|6|7|9|11|18
KRW-AAVE,100,0.001698,0.001722,0.002698,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ARX,100,0.005865,0.005900,0.006865,0|2|9|17|21|22,2|6|7|9|11|18
KRW-TRX,100,0.002245,0.002255,0.003245,0|2|9|17|21|22,2|6|7|9|11|18
KRW-HOLO,100,0.002347,0.003507,0.003347,0|2|9|17|21|22,2|6|7|9|11|18
KRW-WLFI,100,0.002541,0.002558,0.003541,0|2|9|17|21|22,2|6|7|9|11|18
KRW-BCH,100,0.001191,0.001477,0.002191,0|2|9|17|21|22,2|6|7|9|11|18
KRW-DATA,100,0.003839,0.003883,0.004839,0|2|9|17|21|22,2|6|7|9|11|18
KRW-PLUME,100,0.005141,0.005168,0.006141,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ARB,100,0.006601,0.006645,0.007601,0|2|9|17|21|22,2|6|7|9|11|18
KRW-STORJ,100,0.004289,0.007199,0.005289,0|2|9|17|21|22,2|6|7|9|11|18
KRW-BONK,100,0.001823,0.001951,0.002823,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ETC,100,0.002018,0.002990,0.003018,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ESP,100,0.008889,0.008889,0.009889,0|2|9|17|21|22,2|6|7|9|11|18
KRW-0G,100,0.003899,0.003929,0.004899,0|2|9|17|21|22,2|6|7|9|11|18
KRW-META2,100,0.006916,0.008787,0.007916,0|2|9|17|21|22,2|6|7|9|11|18
KRW-BSB,100,0.006920,0.013699,0.007920,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ERA,100,0.002500,0.002516,0.003500,0|2|9|17|21|22,2|6|7|9|11|18
KRW-MIRA,100,0.003077,0.003247,0.004077,0|2|9|17|21|22,2|6|7|9|11|18
KRW-SAND,100,0.002010,0.002018,0.003010,0|2|9|17|21|22,2|6|7|9|11|18
KRW-PEPE,100,0.002125,0.002153,0.003125,0|2|9|17|21|22,2|6|7|9|11|18
KRW-POL,100,0.008032,0.008097,0.009032,0|2|9|17|21|22,2|6|7|9|11|18
KRW-STX,100,0.002861,0.002878,0.003861,0|2|9|17|21|22,2|6|7|9|11|18
KRW-IRYS,100,0.005391,0.005420,0.006391,0|2|9|17|21|22,2|6|7|9|11|18
KRW-AXS,100,0.001595,0.002386,0.002595,0|2|9|17|21|22,2|6|7|9|11|18
KRW-TAO,100,0.001344,0.001974,0.002344,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ALGO,100,0.008163,0.008230,0.009163,0|2|9|17|21|22,2|6|7|9|11|18
KRW-JTO,100,0.003378,0.003436,0.004378,0|2|9|17|21|22,2|6|7|9|11|18
KRW-CC,100,0.006390,0.006557,0.007390,0|2|9|17|21|22,2|6|7|9|11|18
KRW-BIRB,100,0.002545,0.003805,0.003545,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ME,100,0.002375,0.002401,0.003375,0|2|9|17|21|22,2|6|7|9|11|18
KRW-SEI,100,0.003003,0.003086,0.004003,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ENS,100,0.001334,0.001914,0.002334,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ZRO,100,0.002173,0.002886,0.003173,0|2|9|17|21|22,2|6|7|9|11|18
KRW-TRUMP,100,0.000667,0.001002,0.001667,0|2|9|17|21|22,2|6|7|9|11|18
KRW-XEC,100,0.002137,0.003190,0.003137,0|2|9|17|21|22,2|6|7|9|11|18
KRW-RVN,100,0.005141,0.005222,0.006141,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ZAMA,100,0.004338,0.004364,0.005338,0|2|9|17|21|22,2|6|7|9|11|18
KRW-GEOD,100,0.003373,0.006689,0.004373,0|2|9|17|21|22,2|6|7|9|11|18
KRW-AKT,100,0.004364,0.005789,0.005364,0|2|9|17|21|22,2|6|7|9|11|18
KRW-FIL,100,0.001874,0.002782,0.002874,0|2|9|17|21|22,2|6|7|9|11|18
KRW-APT,100,0.002635,0.002674,0.003635,0|2|9|17|21|22,2|6|7|9|11|18
KRW-DRV,100,0.005115,0.005168,0.006115,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ID,100,0.004444,0.004545,0.005444,0|2|9|17|21|22,2|6|7|9|11|18
KRW-SOON,100,0.003976,0.007752,0.004976,0|2|9|17|21|22,2|6|7|9|11|18
KRW-O,100,0.003883,0.004051,0.004883,0|2|9|17|21|22,2|6|7|9|11|18
KRW-AVNT,100,0.007117,0.007168,0.008117,0|2|9|17|21|22,2|6|7|9|11|18
KRW-TREE,100,0.003670,0.003697,0.004670,0|2|9|17|21|22,2|6|7|9|11|18
KRW-KITE,100,0.005831,0.005900,0.006831,0|2|9|17|21|22,2|6|7|9|11|18
KRW-BLEND,100,0.003474,0.003511,0.004474,0|2|9|17|21|22,2|6|7|9|11|18
KRW-MANTRA,100,0.003252,0.004963,0.004252,0|2|9|17|21|22,2|6|7|9|11|18
KRW-CFG,100,0.006780,0.007018,0.007780,0|2|9|17|21|22,2|6|7|9|11|18
KRW-GAS,100,0.002375,0.002448,0.003375,0|2|9|17|21|22,2|6|7|9|11|18
KRW-BERA,100,0.004124,0.004158,0.005124,0|2|9|17|21|22,2|6|7|9|11|18
KRW-MEGA,100,0.003937,0.003984,0.004937,0|2|9|17|21|22,2|6|7|9|11|18
KRW-SOPH,100,0.002789,0.004556,0.003789,0|2|9|17|21|22,2|6|7|9|11|18
KRW-UP2,100,0.002825,0.002853,0.003825,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ZORA,100,0.009569,0.009756,0.010569,0|2|9|17|21|22,2|6|7|9|11|18
KRW-OPG,100,0.007326,0.007380,0.008326,0|2|9|17|21|22,2|6|7|9|11|18
KRW-BSV,100,0.003236,0.003257,0.004235,0|2|9|17|21|22,2|6|7|9|11|18
KRW-HYPER,100,0.003365,0.003399,0.004365,0|2|9|17|21|22,2|6|7|9|11|18
KRW-TRAC,100,0.004525,0.008791,0.005525,0|2|9|17|21|22,2|6|7|9|11|18
KRW-IN,100,0.004329,0.004425,0.005329,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ATH,100,0.003185,0.004736,0.004185,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ETHFI,100,0.002574,0.002685,0.003574,0|2|9|17|21|22,2|6|7|9|11|18
KRW-MON,100,0.002821,0.005464,0.003821,0|2|9|17|21|22,2|6|7|9|11|18
KRW-ZIL,100,0.008463,0.011364,0.009463,0|2|9|17|21|22,2|6|7|9|11|18
KRW-B3,100,0.004743,0.004827,0.005743,0|2|9|17|21|22,2|6|7|9|11|18
