utc,symbol,trigger,ret15,volz
2026-08-18T01:09:30.784000+00:00,SYN12USDT,B,0.0039,3.44
2026-08-18T01:39:30.925000+00:00,SYN14USDT,A,-0.05859,6.87
2026-08-18T02:24:31.386000+00:00,SYN21USDT,A,-0.07025,16.61
2026-08-18T05:54:30.925000+00:00,SYN14USDT,B,0.0097,4.77
2026-08-18T07:39:30.274000+00:00,SYN05USDT,B,0.00019,3.09
2026-08-18T07:54:31.851000+00:00,SYN28USDT,A,-0.05254,10.39
2026-08-18T08:24:30.990000+00:00,SYN15USDT,A,-0.03481,12.69
2026-08-18T09:09:30.990000+00:00,SYN15USDT,B,0.00096,5.64
2026-08-18T09:39:30.579000+00:00,SYN09USDT,A,-0.02233,3.85
2026-08-18T10:39:30.715000+00:00,SYN11USDT,A,-0.06775,16.91
2026-08-18T12:39:29.970000+00:00,SYN01USDT,A,-0.06536,9.4
2026-08-18T12:39:30.854000+00:00,SYN13USDT,A,-0.06407,3.51
2026-08-18T16:09:31.458000+00:00,SYN22USDT,A,-0.02512,4.79
2026-08-18T17:09:31.319000+00:00,SYN20USDT,B,0.00949,3.89
2026-08-18T18:39:31.123000+00:00,SYN17USDT,B,0.00477,7.31
2026-08-18T20:09:29.970000+00:00,SYN01USDT,A,-0.03751,3.04
2026-08-18T20:09:30.925000+00:00,SYN14USDT,B,0.01248,3.87
2026-08-18T22:24:30.990000+00:00,SYN15USDT,A,-0.027,4.67
2026-08-18T23:09:30.854000+00:00,SYN13USDT,B,0.01201,5.54
2026-08-18T23:39:30.715000+00:00,SYN11USDT,B,0.01195,3.15
2026-08-19T02:54:31.851000+00:00,SYN28USDT,A,-0.04705,15.96
2026-08-19T03:09:30.509000+00:00,SYN08USDT,B,0.01423,3.98
2026-08-19T03:24:30.854000+00:00,SYN13USDT,A,-0.02297,22.8
2026-08-19T06:39:30.990000+00:00,SYN15USDT,A,-0.04149,9.62
2026-08-19T06:54:31.917000+00:00,SYN29USDT,B,0.00787,4.07
2026-08-19T10:24:31.188000+00:00,SYN18USDT,A,-0.05452,13.98
2026-08-19T16:54:29.881000+00:00,SYN00USDT,A,-0.07319,7.26
2026-08-19T16:54:31.851000+00:00,SYN28USDT,B,0.00143,3.2
2026-08-19T17:54:31.785000+00:00,SYN27USDT,B,0.00722,3.45
2026-08-19T18:39:30.925000+00:00,SYN14USDT,B,0.02413,3.18
2026-08-19T20:24:30.645000+00:00,SYN10USDT,B,0.00905,4.89
2026-08-19T22:54:30.784000+00:00,SYN12USDT,B,0.00457,4.84
2026-08-20T00:09:30.715000+00:00,SYN11USDT,B,0.01361,3.24
2026-08-20T05:39:30.056000+00:00,SYN02USDT,A,-0.0322,14.74
2026-08-20T08:09:30.056000+00:00,SYN02USDT,B,0.02583,4.42
2026-08-20T08:24:31.458000+00:00,SYN22USDT,B,0.01555,3.31
2026-08-20T08:54:30.925000+00:00,SYN14USDT,A,-0.06286,28.57
2026-08-20T08:54:31.851000+00:00,SYN28USDT,A,-0.08364,19.81
2026-08-20T10:09:30.207000+00:00,SYN04USDT,A,-0.05637,11.82
2026-08-20T14:09:30.341000+00:00,SYN06USDT,A,-0.0365,4.13
2026-08-20T15:54:30.579000+00:00,SYN09USDT,B,0.00438,3.25
2026-08-20T17:54:29.970000+00:00,SYN01USDT,A,-0.0614,18.72
2026-08-20T20:39:30.341000+00:00,SYN06USDT,A,-0.03258,11.21
2026-08-20T21:39:31.785000+00:00,SYN27USDT,A,-0.02206,4.9
2026-08-20T22:09:30.990000+00:00,SYN15USDT,B,0.01162,4.1
2026-08-20T22:24:30.509000+00:00,SYN08USDT,A,-0.08368,6.68
2026-08-21T02:54:30.136000+00:00,SYN03USDT,A,-0.02887,2.4
2026-08-21T03:54:30.784000+00:00,SYN12USDT,B,0.01747,3.84
2026-08-21T04:24:31.254000+00:00,SYN19USDT,B,0.02892,6.62
2026-08-21T04:39:31.319000+00:00,SYN20USDT,A,-0.05248,19.74
2026-08-21T06:39:30.645000+00:00,SYN10USDT,B,0.00049,3.73
2026-08-21T08:54:31.319000+00:00,SYN20USDT,A,-0.04472,6.88
2026-08-21T08:54:31.386000+00:00,SYN21USDT,B,0.00529,3.63
2026-08-21T11:09:31.055000+00:00,SYN16USDT,B,0.0089,3.02
2026-08-21T13:54:30.408000+00:00,SYN07USDT,A,-0.03212,2.92
2026-08-21T16:39:30.854000+00:00,SYN13USDT,A,-0.02744,8.5
2026-08-21T16:54:30.509000+00:00,SYN08USDT,A,-0.06555,6.88
2026-08-21T17:39:31.721000+00:00,SYN26USDT,A,-0.04937,14.21
2026-08-21T19:24:31.319000+00:00,SYN20USDT,B,0.01266,4.62
2026-08-21T19:39:30.207000+00:00,SYN04USDT,A,-0.04858,9.67
2026-08-21T20:39:30.784000+00:00,SYN12USDT,B,0.00206,4.02
2026-08-21T20:39:31.188000+00:00,SYN18USDT,A,-0.03829,16.14
2026-08-22T00:09:31.721000+00:00,SYN26USDT,A,-0.04664,3.95
2026-08-22T00:24:30.056000+00:00,SYN02USDT,A,-0.05563,6.05
2026-08-22T03:54:31.589000+00:00,SYN24USDT,A,-0.03572,8.62
2026-08-22T04:39:31.254000+00:00,SYN19USDT,A,-0.06581,20.48
2026-08-22T04:39:31.458000+00:00,SYN22USDT,A,-0.04715,7.35
2026-08-22T07:39:30.645000+00:00,SYN10USDT,A,-0.06215,4.5
2026-08-22T07:39:31.523000+00:00,SYN23USDT,A,-0.08561,5.25
2026-08-22T12:09:31.589000+00:00,SYN24USDT,A,-0.05526,6.82
2026-08-22T15:24:31.123000+00:00,SYN17USDT,A,-0.06792,6.52
2026-08-22T15:54:30.056000+00:00,SYN02USDT,B,0.01147,3.2
2026-08-22T15:54:31.917000+00:00,SYN29USDT,A,-0.05472,13.07
2026-08-22T16:54:30.854000+00:00,SYN13USDT,B,0.01508,5.24
2026-08-22T17:54:30.136000+00:00,SYN03USDT,A,-0.09715,5.21
2026-08-22T18:24:31.785000+00:00,SYN27USDT,B,0.01057,3.81
2026-08-22T19:54:31.458000+00:00,SYN22USDT,A,-0.03443,5.24
2026-08-22T20:09:30.784000+00:00,SYN12USDT,A,-0.06824,24.05
2026-08-22T21:54:30.925000+00:00,SYN14USDT,B,0.00076,4.03
2026-08-22T23:39:31.523000+00:00,SYN23USDT,B,0.01772,16.73
2026-08-23T00:39:31.851000+00:00,SYN28USDT,A,-0.0685,12.27
2026-08-23T01:39:31.123000+00:00,SYN17USDT,B,0.01157,4.84
2026-08-23T02:54:30.925000+00:00,SYN14USDT,B,0.00183,4.48
