utc,symbol,trigger,ret15,volz
2026-04-05T00:15:00+00:00,ETCUSDT,A,-0.00916,5.53
2026-04-05T01:00:00+00:00,ORDIUSDT,A,-0.00964,5.37
2026-04-05T03:30:00+00:00,PENDLEUSDT,A,-0.00794,3.87
2026-04-05T03:45:00+00:00,PENDLEUSDT,B,0.00117,13.81
2026-04-05T04:45:00+00:00,BCHUSDT,A,-0.00978,3.82
2026-04-05T06:00:00+00:00,LABUSDT,B,0.02572,3.33
2026-04-05T06:00:00+00:00,LTCUSDT,A,-0.00397,4.77
2026-04-05T06:00:00+00:00,ONDOUSDT,A,-0.00796,4.5
2026-04-05T06:15:00+00:00,ENAUSDT,A,-0.00644,5.03
2026-04-05T06:45:00+00:00,EPICUSDT,B,0.01723,3.22
2026-04-05T12:00:00+00:00,PENDLEUSDT,A,-0.00854,4.27
2026-04-05T12:30:00+00:00,XPLUSDT,A,-0.03038,1.28
2026-04-05T13:30:00+00:00,ALGOUSDT,B,0.00939,3.17
2026-04-05T14:00:00+00:00,ATOMUSDT,B,0.0006,9.95
2026-04-05T15:15:00+00:00,DOTUSDT,B,0.01062,4.82
2026-04-05T17:00:00+00:00,EPICUSDT,A,-0.0131,7.59
2026-04-05T17:00:00+00:00,LABUSDT,B,0.03435,8.39
2026-04-05T17:15:00+00:00,EPICUSDT,B,0.03659,25.13
2026-04-05T17:45:00+00:00,VVVUSDT,B,0.01724,3.94
2026-04-05T20:45:00+00:00,ALGOUSDT,B,0.02263,3.79
2026-04-05T21:30:00+00:00,XMRUSDT,B,0.00149,5.69
2026-04-05T22:45:00+00:00,PAXGUSDT,B,0.00035,3.73
2026-04-05T23:00:00+00:00,LITUSDT,B,0.02337,4.75
2026-04-05T23:15:00+00:00,ARBUSDT,B,0.01078,3.07
2026-04-05T23:15:00+00:00,BNBUSDT,B,0.00192,3.35
2026-04-06T00:00:00+00:00,1000BONKUSDT,B,0.015,3.7
2026-04-06T00:00:00+00:00,1000PEPEUSDT,B,0.01803,3.56
2026-04-06T00:00:00+00:00,1000SHIBUSDT,B,0.00567,3.5
2026-04-06T00:00:00+00:00,ADAUSDT,B,0.01596,6.08
2026-04-06T00:00:00+00:00,AVAXUSDT,B,0.01335,3.93
2026-04-06T00:00:00+00:00,COINUSDT,B,0.00584,4.36
2026-04-06T00:00:00+00:00,HOODUSDT,B,0.00129,3.89
2026-04-06T00:00:00+00:00,INJUSDT,B,0.00779,4.45
2026-04-06T00:00:00+00:00,LINKUSDT,B,0.0076,3.4
2026-04-06T00:00:00+00:00,MSTRUSDT,B,0.01138,9.1
2026-04-06T00:00:00+00:00,PENGUUSDT,B,0.01347,3.11
2026-04-06T03:45:00+00:00,LABUSDT,B,0.01574,4.88
2026-04-06T04:00:00+00:00,LITUSDT,A,-0.01343,6.17
2026-04-06T05:15:00+00:00,LABUSDT,A,-0.01451,7.56
2026-04-06T05:30:00+00:00,DEXEUSDT,B,0.03568,3.83
2026-04-06T05:30:00+00:00,LTCUSDT,B,0.00369,3.64
2026-04-06T06:00:00+00:00,ATOMUSDT,B,0.00059,3.5
2026-04-06T08:15:00+00:00,EPICUSDT,B,0.02154,3.18
2026-04-06T08:30:00+00:00,WLFIUSDT,B,0.0111,3.44
2026-04-06T08:45:00+00:00,EPICUSDT,A,-0.02429,7.33
2026-04-06T09:15:00+00:00,LINKUSDT,B,0.00586,4.53
2026-04-06T09:15:00+00:00,PENDLEUSDT,B,9e-05,4.38
2026-04-06T10:00:00+00:00,DASHUSDT,B,0.00484,3.3
