utc,symbol,trigger,ret15,volz
2026-04-05T00:00:00+00:00,KRW-BERA,B,0.00613,13.71
2026-04-05T00:00:00+00:00,KRW-GAS,A,-0.02147,6.23
2026-04-05T00:00:00+00:00,KRW-ID,B,0.01247,14.0
2026-04-05T00:30:00+00:00,KRW-BARD,B,0.00417,3.05
2026-04-05T01:00:00+00:00,KRW-ZKP,B,0.02885,9.24
2026-04-05T01:15:00+00:00,KRW-ZKP,A,-0.03738,8.73
2026-04-05T01:30:00+00:00,KRW-ID,A,-0.00628,2.18
2026-04-05T01:30:00+00:00,KRW-PENDLE,A,-0.00694,3.29
2026-04-05T02:15:00+00:00,KRW-BERA,A,-0.03868,5.83
2026-04-05T05:00:00+00:00,KRW-ZBT,B,0.05298,4.4
2026-04-05T05:15:00+00:00,KRW-ZBT,A,-0.02516,4.46
2026-04-05T06:00:00+00:00,KRW-ATOM,A,-0.00501,13.91
2026-04-05T06:00:00+00:00,KRW-ONT,B,0.03974,3.65
2026-04-05T07:15:00+00:00,KRW-ID,A,-0.00638,1.65
2026-04-05T09:15:00+00:00,KRW-G,B,0.02609,4.81
2026-04-05T09:45:00+00:00,KRW-ZBT,B,0.01258,6.35
2026-04-05T10:00:00+00:00,KRW-MMT,B,0.01143,3.37
2026-04-05T12:15:00+00:00,KRW-BIGTIME,B,0.01075,8.19
2026-04-05T12:15:00+00:00,KRW-MIRA,B,0.01724,10.38
2026-04-05T12:15:00+00:00,KRW-ZBT,A,-0.0443,4.01
2026-04-05T12:30:00+00:00,KRW-BCH,A,-0.00841,5.49
2026-04-05T12:30:00+00:00,KRW-BERA,A,-0.0367,2.84
2026-04-05T12:30:00+00:00,KRW-BIGTIME,A,-0.01064,3.95
2026-04-05T12:30:00+00:00,KRW-IN,A,-0.00951,5.91
2026-04-05T12:30:00+00:00,KRW-MMT,A,-0.0166,66.68
2026-04-05T12:45:00+00:00,KRW-AVNT,B,0.00532,3.92
2026-04-05T12:45:00+00:00,KRW-MIRA,A,-0.01709,8.82
2026-04-05T13:00:00+00:00,KRW-ID,A,-0.00651,2.52
2026-04-05T13:00:00+00:00,KRW-ME,B,0.0641,3.76
2026-04-05T13:15:00+00:00,KRW-ME,A,-0.0241,9.29
2026-04-05T13:15:00+00:00,KRW-OPEN,A,-0.02745,3.5
2026-04-05T13:30:00+00:00,KRW-ID,B,0.00665,4.66
2026-04-05T13:30:00+00:00,KRW-PUMP,B,0.00403,6.26
2026-04-05T14:00:00+00:00,KRW-MMT,B,0.01702,12.89
2026-04-05T19:00:00+00:00,KRW-MMT,B,0.00467,4.8
2026-04-05T19:15:00+00:00,KRW-MMT,A,-0.03721,3.14
2026-04-05T23:15:00+00:00,KRW-HBAR,B,0.00758,3.34
2026-04-05T23:30:00+00:00,KRW-PENGU,B,0.00318,6.09
2026-04-06T00:00:00+00:00,KRW-BERA,B,0.02462,3.65
2026-04-06T00:00:00+00:00,KRW-MMT,A,-0.0274,4.96
2026-04-06T00:15:00+00:00,KRW-ARB,B,0.01399,3.33
2026-04-06T00:15:00+00:00,KRW-FLOCK,B,0.0428,3.94
2026-04-06T00:30:00+00:00,KRW-AVAX,B,0.00429,4.82
2026-04-06T01:30:00+00:00,KRW-AVAX,A,-0.0063,4.79
2026-04-06T01:30:00+00:00,KRW-IN,A,-0.0197,13.02
2026-04-06T02:45:00+00:00,KRW-RED,B,0.00625,6.22
2026-04-06T03:15:00+00:00,KRW-SHIB,A,-0.0044,6.64
2026-04-06T04:00:00+00:00,KRW-POL,B,0.00719,4.14
2026-04-06T04:30:00+00:00,KRW-ATOM,B,0.00078,5.86
2026-04-06T04:30:00+00:00,KRW-AVAX,B,0.00634,10.8
2026-04-06T05:30:00+00:00,KRW-RED,A,-0.01818,3.47
2026-04-06T05:45:00+00:00,KRW-FLOCK,B,0.01963,5.57
2026-04-06T06:00:00+00:00,KRW-IN,A,-0.00928,1.44
2026-04-06T06:00:00+00:00,KRW-MMT,B,0.00935,5.44
2026-04-06T06:15:00+00:00,KRW-PENDLE,A,-0.01259,1.69
2026-04-06T06:30:00+00:00,KRW-MMT,A,-0.06726,4.38
2026-04-06T06:45:00+00:00,KRW-ALGO,B,0.01064,4.14
2026-04-06T06:45:00+00:00,KRW-RED,B,0.01796,23.38
2026-04-06T07:00:00+00:00,KRW-TREE,B,0.01338,7.91
2026-04-06T07:45:00+00:00,KRW-TREE,A,-0.01257,17.94
2026-04-06T08:30:00+00:00,KRW-CRO,B,0.00952,4.33
2026-04-06T09:00:00+00:00,KRW-ATOM,A,-0.00381,4.24
2026-04-06T09:00:00+00:00,KRW-COW,A,-0.00932,11.19
2026-04-06T09:00:00+00:00,KRW-ERA,B,0.0582,13.67
2026-04-06T09:15:00+00:00,KRW-ERA,A,-0.055,11.92
2026-04-06T09:15:00+00:00,KRW-INJ,B,0.00367,4.97
2026-04-06T09:15:00+00:00,KRW-LINK,B,0.00515,3.51
2026-04-06T09:30:00+00:00,KRW-RED,A,-0.03398,45.61
2026-04-06T10:45:00+00:00,KRW-RED,B,0.08962,89.97
2026-04-06T11:15:00+00:00,KRW-COW,B,0.02128,12.2
2026-04-06T11:15:00+00:00,KRW-FIL,B,0.00451,3.32
2026-04-06T11:15:00+00:00,KRW-HOLO,A,-0.01071,3.26
2026-04-06T11:30:00+00:00,KRW-MIRA,B,0.0082,4.57
2026-04-06T11:45:00+00:00,KRW-PENDLE,A,-0.01109,13.73
2026-04-06T11:45:00+00:00,KRW-PLUME,A,-0.02041,8.67
2026-04-06T11:45:00+00:00,KRW-TREE,A,-0.00996,2.31
2026-04-06T12:30:00+00:00,KRW-FIL,A,-0.0059,3.73
2026-04-06T12:30:00+00:00,KRW-MET2,B,0.00498,4.49
2026-04-06T12:30:00+00:00,KRW-TREE,B,0.00999,6.25
2026-04-06T12:45:00+00:00,KRW-AVNT,B,0.01471,6.39
2026-04-06T12:45:00+00:00,KRW-LAYER,B,0.00826,3.88
2026-04-06T12:45:00+00:00,KRW-MIRA,A,-0.024,8.87
2026-04-06T13:15:00+00:00,KRW-AVNT,A,-0.00939,7.23
2026-04-06T13:15:00+00:00,KRW-ERA,B,0.00513,3.96
2026-04-06T13:30:00+00:00,KRW-FF,B,0.00943,3.89
2026-04-06T13:45:00+00:00,KRW-COW,A,-0.02102,2.04
2026-04-06T13:45:00+00:00,KRW-RED,A,-0.04181,73.37
2026-04-06T14:00:00+00:00,KRW-ERA,A,-0.02451,17.28
2026-04-06T14:15:00+00:00,KRW-FF,A,-0.00926,6.45
2026-04-06T14:15:00+00:00,KRW-MET2,A,-0.01456,6.69
2026-04-06T15:30:00+00:00,KRW-RED,B,0.01111,34.4
2026-04-06T15:45:00+00:00,KRW-SOPH,B,0.08594,21.02
2026-04-06T16:00:00+00:00,KRW-SOPH,A,-0.07914,10.4
2026-04-06T16:00:00+00:00,KRW-TREE,A,-0.05983,27.54
2026-04-06T17:15:00+00:00,KRW-FLOCK,B,0.08404,8.8
2026-04-06T17:30:00+00:00,KRW-FLOCK,A,-0.05169,9.69
2026-04-06T18:45:00+00:00,KRW-RED,A,-0.02182,12.38
2026-04-06T19:30:00+00:00,KRW-HYPER,A,-0.01471,1.91
2026-04-06T19:30:00+00:00,KRW-RED,B,0.01521,8.35
2026-04-06T21:30:00+00:00,KRW-TREE,B,0.02747,15.59
2026-04-06T21:45:00+00:00,KRW-TREE,A,-0.01782,9.94
2026-04-06T22:45:00+00:00,KRW-RED,A,-0.03261,17.29
2026-04-06T23:00:00+00:00,KRW-AVAX,A,-0.0225,8.76
2026-04-06T23:15:00+00:00,KRW-BIGTIME,A,-0.01053,1.55
2026-04-06T23:30:00+00:00,KRW-AVAX,B,0.00224,3.27
2026-04-06T23:30:00+00:00,KRW-RED,B,0.02602,21.98
2026-04-07T00:00:00+00:00,KRW-AVNT,A,-0.02913,16.57
2026-04-07T00:00:00+00:00,KRW-ELSA,B,0.04555,3.94
2026-04-07T00:00:00+00:00,KRW-ERA,A,-0.01546,1.14
2026-04-07T00:00:00+00:00,KRW-MIRA,A,-0.03306,3.16
2026-04-07T00:15:00+00:00,KRW-ELSA,A,-0.03465,1.82
2026-04-07T00:15:00+00:00,KRW-ONT,B,0.05469,4.79
2026-04-07T00:45:00+00:00,KRW-BIGTIME,B,0.1117,43.84
2026-04-07T01:00:00+00:00,KRW-EDGE,B,0.10405,4.07
2026-04-07T01:30:00+00:00,KRW-CFG,B,0.0709,4.92
2026-04-07T01:30:00+00:00,KRW-EDGE,A,-0.02283,6.28
2026-04-07T01:45:00+00:00,KRW-CFG,A,-0.12195,7.1
2026-04-07T02:00:00+00:00,KRW-SHIB,B,0.00569,5.17
2026-04-07T02:15:00+00:00,KRW-BIRB,B,0.01,5.7
2026-04-07T02:45:00+00:00,KRW-ESP,B,0.02326,7.61
2026-04-07T03:00:00+00:00,KRW-ESP,A,-0.01515,3.04
2026-04-07T03:00:00+00:00,KRW-RED,A,-0.02222,4.26
2026-04-07T03:15:00+00:00,KRW-KITE,B,0.01681,3.44
2026-04-07T03:30:00+00:00,KRW-RED,B,0.03774,5.2
2026-04-07T04:15:00+00:00,KRW-ETC,A,-0.0253,5.27
2026-04-07T04:45:00+00:00,KRW-CRO,B,0.00962,3.05
2026-04-07T04:45:00+00:00,KRW-ELSA,B,0.0198,6.13
2026-04-07T05:30:00+00:00,KRW-AVAX,A,-0.00918,5.01
2026-04-07T05:30:00+00:00,KRW-ELSA,A,-0.01923,2.06
2026-04-07T05:45:00+00:00,KRW-EDGE,A,-0.06341,2.74
2026-04-07T06:15:00+00:00,KRW-AVAX,B,0.00311,3.76
2026-04-07T06:15:00+00:00,KRW-BIRB,B,0.04902,9.66
2026-04-07T06:30:00+00:00,KRW-BIRB,A,-0.02336,6.32
2026-04-07T07:00:00+00:00,KRW-EDGE,B,0.06218,3.44
2026-04-07T07:00:00+00:00,KRW-ESP,A,-0.02632,7.66
2026-04-07T07:00:00+00:00,KRW-LAYER,B,0.00806,3.25
2026-04-07T07:15:00+00:00,KRW-ESP,B,0.01351,6.35
2026-04-07T07:30:00+00:00,KRW-INJ,B,0.00254,4.37
2026-04-07T07:30:00+00:00,KRW-RED,B,0.19298,25.76
2026-04-07T07:30:00+00:00,KRW-TREE,B,0.02603,3.29
2026-04-07T07:45:00+00:00,KRW-LAYER,A,-0.03759,76.15
2026-04-07T07:45:00+00:00,KRW-TREE,A,-0.01797,6.53
2026-04-07T08:00:00+00:00,KRW-ME,A,-0.03086,1.95
2026-04-07T08:15:00+00:00,KRW-INJ,A,-0.00764,4.98
2026-04-07T08:15:00+00:00,KRW-MET2,A,-0.01415,1.7
2026-04-07T08:15:00+00:00,KRW-ZBT,A,-0.03067,28.32
2026-04-07T08:45:00+00:00,KRW-RED,A,-0.06231,12.2
2026-04-07T09:15:00+00:00,KRW-ME,B,0.05556,11.19
2026-04-07T09:30:00+00:00,KRW-ZKP,B,0.02778,3.73
2026-04-07T10:00:00+00:00,KRW-AAVE,A,-0.0137,6.25
2026-04-07T10:00:00+00:00,KRW-MET2,B,0.01408,4.59
2026-04-07T10:00:00+00:00,KRW-ZKP,A,-0.02679,16.62
2026-04-07T10:15:00+00:00,KRW-ENSO,B,0.02175,9.25
2026-04-07T10:45:00+00:00,KRW-ENSO,A,-0.03016,7.98
2026-04-07T11:00:00+00:00,KRW-FF,A,-0.00952,4.81
2026-04-07T11:15:00+00:00,KRW-ESP,A,-0.02963,1.7
2026-04-07T11:30:00+00:00,KRW-AAVE,B,0.00229,8.99
2026-04-07T11:30:00+00:00,KRW-BSV,B,0.07048,11.8
2026-04-07T11:30:00+00:00,KRW-RED,B,0.00671,8.93
2026-04-07T11:30:00+00:00,KRW-XEC,B,0.01961,5.93
2026-04-07T12:00:00+00:00,KRW-BSV,A,-0.07499,9.0
2026-04-07T12:00:00+00:00,KRW-EDGE,B,0.09278,6.97
2026-04-07T12:00:00+00:00,KRW-XEC,A,-0.01905,3.27
2026-04-07T12:15:00+00:00,KRW-BARD,B,0.10127,16.46
2026-04-07T12:15:00+00:00,KRW-EDGE,A,-0.06132,6.82
2026-04-07T12:15:00+00:00,KRW-ZORA,B,0.03182,8.42
2026-04-07T12:30:00+00:00,KRW-BARD,A,-0.09195,10.29
2026-04-07T12:30:00+00:00,KRW-SNT,A,-0.02041,3.45
2026-04-07T12:30:00+00:00,KRW-ZORA,A,-0.04405,6.33
2026-04-07T12:45:00+00:00,KRW-RED,A,-0.04225,2.77
2026-04-07T14:00:00+00:00,KRW-FF,B,0.00952,4.7
2026-04-07T15:30:00+00:00,KRW-ESP,A,-0.04478,1.55
2026-04-07T15:45:00+00:00,KRW-RED,B,0.02349,3.05
2026-04-07T19:45:00+00:00,KRW-AAVE,B,0.00975,4.41
2026-04-07T20:15:00+00:00,KRW-ZRO,B,0.02478,3.77
2026-04-07T21:00:00+00:00,KRW-AVAX,B,0.01595,3.54
2026-04-07T21:00:00+00:00,KRW-INJ,B,0.01369,4.7
2026-04-07T22:30:00+00:00,KRW-APT,B,0.00705,3.01
2026-04-07T22:30:00+00:00,KRW-ETC,B,0.0116,3.41
2026-04-07T22:30:00+00:00,KRW-LINK,B,0.00818,5.62
2026-04-07T22:30:00+00:00,KRW-PEPE,B,0.00912,3.92
2026-04-07T22:30:00+00:00,KRW-SUI,B,0.01385,3.68
2026-04-07T22:30:00+00:00,KRW-VIRTUAL,B,0.01313,3.46
2026-04-07T22:30:00+00:00,KRW-WLFI,B,0.0068,3.78
2026-04-07T22:45:00+00:00,KRW-ARB,B,0.01333,5.08
2026-04-07T22:45:00+00:00,KRW-BCH,B,0.00528,3.55
2026-04-07T22:45:00+00:00,KRW-POL,B,0.0146,7.04
2026-04-07T22:45:00+00:00,KRW-UNI,B,0.01349,4.46
2026-04-07T22:45:00+00:00,KRW-W,B,0.00481,3.0
2026-04-07T23:00:00+00:00,KRW-MON,B,0.04719,5.72
2026-04-07T23:00:00+00:00,KRW-SAND,B,0.0084,6.08
2026-04-07T23:15:00+00:00,KRW-ALGO,B,0.0289,3.34
2026-04-07T23:15:00+00:00,KRW-CRO,B,0.00943,8.91
2026-04-07T23:15:00+00:00,KRW-MON,A,-0.03004,5.09
2026-04-07T23:15:00+00:00,KRW-PENGU,B,0.0198,3.09
2026-04-07T23:30:00+00:00,KRW-AAVE,A,-0.0097,7.72
2026-04-08T00:00:00+00:00,KRW-0G,B,0.02287,18.25
2026-04-08T00:00:00+00:00,KRW-ENSO,B,0.0218,4.92
2026-04-08T00:00:00+00:00,KRW-RED,B,0.00333,7.83
2026-04-08T00:00:00+00:00,KRW-SOPH,B,0.01562,7.06
2026-04-08T00:00:00+00:00,KRW-TREE,B,0.02463,14.29
2026-04-08T00:00:00+00:00,KRW-WLFI,A,-0.01987,4.05
2026-04-08T00:15:00+00:00,KRW-AVAX,A,-0.0057,5.09
2026-04-08T00:30:00+00:00,KRW-IN,B,0.03896,9.64
2026-04-08T00:45:00+00:00,KRW-IN,A,-0.01364,12.69
2026-04-08T01:45:00+00:00,KRW-0G,A,-0.0299,3.77
2026-04-08T04:15:00+00:00,KRW-AVAX,B,0.00642,3.66
2026-04-08T04:45:00+00:00,KRW-ALGO,B,0.01117,3.66
2026-04-08T06:15:00+00:00,KRW-RED,B,0.05263,5.03
2026-04-08T07:00:00+00:00,KRW-PYTH,B,0.01042,3.74
2026-04-08T07:30:00+00:00,KRW-PYTH,A,-0.01458,26.55
2026-04-08T08:15:00+00:00,KRW-NEAR,B,0.01107,4.41
2026-04-08T08:30:00+00:00,KRW-KAITO,B,0.01926,6.81
2026-04-08T08:30:00+00:00,KRW-OPEN,B,0.13971,71.65
2026-04-08T08:45:00+00:00,KRW-KAITO,A,-0.0218,7.4
