utc,symbol
2026-04-05T11:45:00+00:00,FFUSDT
2026-04-05T12:00:00+00:00,PENDLEUSDT
2026-04-05T12:30:00+00:00,BIGTIMEUSDT
2026-04-05T12:30:00+00:00,INUSDT
2026-04-05T12:30:00+00:00,MIRAUSDT
2026-04-05T12:30:00+00:00,XPLUSDT
2026-04-05T13:00:00+00:00,IDUSDT
2026-04-05T13:00:00+00:00,MMTUSDT
2026-04-05T13:15:00+00:00,MEUSDT
2026-04-05T17:00:00+00:00,MMTUSDT
2026-04-06T00:00:00+00:00,MMTUSDT
2026-04-06T01:30:00+00:00,INUSDT
2026-04-06T03:00:00+00:00,ERAUSDT
2026-04-06T06:30:00+00:00,MMTUSDT
2026-04-06T07:00:00+00:00,REDUSDT
2026-04-06T07:45:00+00:00,TREEUSDT
2026-04-06T09:00:00+00:00,COWUSDT
2026-04-06T09:15:00+00:00,ERAUSDT
2026-04-06T11:00:00+00:00,PIEVERSEUSDT
2026-04-06T11:00:00+00:00,REDUSDT
2026-04-06T11:45:00+00:00,PENDLEUSDT
2026-04-06T11:45:00+00:00,TREEUSDT
2026-04-06T12:45:00+00:00,MIRAUSDT
2026-04-06T13:15:00+00:00,AVNTUSDT
2026-04-06T14:00:00+00:00,COWUSDT
2026-04-06T14:00:00+00:00,ERAUSDT
2026-04-06T15:15:00+00:00,REDUSDT
2026-04-06T16:00:00+00:00,SOPHUSDT
2026-04-06T16:00:00+00:00,TREEUSDT
2026-04-06T16:15:00+00:00,AAVEUSDT
2026-04-06T17:00:00+00:00,MONUSDT
2026-04-06T17:30:00+00:00,FLOCKUSDT
2026-04-06T18:00:00+00:00,MIRAUSDT
2026-04-06T19:30:00+00:00,HYPERUSDT
2026-04-06T20:15:00+00:00,REDUSDT
2026-04-06T21:45:00+00:00,TREEUSDT
2026-04-06T22:30:00+00:00,VVVUSDT
2026-04-06T22:45:00+00:00,MIRAUSDT
2026-04-06T23:00:00+00:00,AVAXUSDT
2026-04-06T23:00:00+00:00,ERAUSDT
2026-04-06T23:00:00+00:00,POLUSDT
2026-04-07T00:00:00+00:00,AVNTUSDT
2026-04-07T00:45:00+00:00,REDUSDT
2026-04-07T01:00:00+00:00,BIGTIMEUSDT
2026-04-07T01:00:00+00:00,SANDUSDT
2026-04-07T01:45:00+00:00,ESPUSDT
2026-04-07T04:15:00+00:00,ALGOUSDT
2026-04-07T04:15:00+00:00,ETCUSDT
2026-04-07T06:45:00+00:00,ESPUSDT
2026-04-07T07:45:00+00:00,LAYERUSDT
2026-04-07T07:45:00+00:00,TREEUSDT
2026-04-07T08:15:00+00:00,REDUSDT
2026-04-07T08:15:00+00:00,ZBTUSDT
2026-04-07T09:30:00+00:00,MEUSDT
2026-04-07T10:00:00+00:00,ZKPUSDT
2026-04-07T10:15:00+00:00,AAVEUSDT
2026-04-07T11:00:00+00:00,ESPUSDT
2026-04-07T11:45:00+00:00,ZAMAUSDT
2026-04-07T12:00:00+00:00,1000SHIBUSDT
2026-04-07T12:00:00+00:00,BSVUSDT
2026-04-07T12:00:00+00:00,ENSUSDT
2026-04-07T12:00:00+00:00,LAYERUSDT
2026-04-07T12:00:00+00:00,PENGUUSDT
2026-04-07T12:45:00+00:00,REDUSDT
2026-04-07T14:00:00+00:00,DOTUSDT
2026-04-07T14:00:00+00:00,KATUSDT
2026-04-07T15:00:00+00:00,ESPUSDT
2026-04-07T17:00:00+00:00,ZAMAUSDT
2026-04-07T20:00:00+00:00,REDUSDT
2026-04-07T23:00:00+00:00,DOTUSDT
2026-04-07T23:15:00+00:00,MONUSDT
2026-04-07T23:30:00+00:00,AAVEUSDT
2026-04-07T23:30:00+00:00,AVAXUSDT
2026-04-08T00:45:00+00:00,INUSDT
2026-04-08T03:30:00+00:00,PENDLEUSDT
2026-04-08T07:30:00+00:00,HBARUSDT
2026-04-08T07:30:00+00:00,PYTHUSDT
2026-04-08T08:45:00+00:00,KAITOUSDT
2026-04-08T08:45:00+00:00,OPENUSDT
2026-04-08T09:00:00+00:00,IDUSDT
