upbit,binance,upbit_A,binance_A,exact,pm1,exact_rate,pm1_rate,chance_exact,chance_pm1
KRW-AAVE,AAVEUSDT,38,62,20,23,0.5263,0.6053,0.0043,0.013
KRW-ALGO,ALGOUSDT,19,32,8,8,0.4211,0.4211,0.0022,0.0067
KRW-APT,APTUSDT,37,67,19,21,0.5135,0.5676,0.0047,0.0141
KRW-ARB,ARBUSDT,35,53,14,15,0.4,0.4286,0.0037,0.0111
KRW-ARX,ARXUSDT,4,6,3,3,0.75,0.75,0.0004,0.0013
KRW-ATOM,ATOMUSDT,39,46,12,12,0.3077,0.3077,0.0032,0.0097
KRW-AVAX,AVAXUSDT,52,54,23,25,0.4423,0.4808,0.0038,0.0113
KRW-BCH,BCHUSDT,47,49,23,26,0.4894,0.5532,0.0034,0.0103
KRW-BONK,1000BONKUSDT,35,49,9,10,0.2571,0.2857,0.0034,0.0103
KRW-CHZ,CHZUSDT,32,45,17,17,0.5312,0.5312,0.0031,0.0094
KRW-DOT,DOTUSDT,30,46,10,11,0.3333,0.3667,0.0032,0.0097
KRW-EDGE,EDGEUSDT,26,20,0,1,0.0,0.0385,0.0014,0.0042
KRW-ETC,ETCUSDT,50,53,27,29,0.54,0.58,0.0037,0.0111
KRW-ETHFI,ETHFIUSDT,33,57,13,16,0.3939,0.4848,0.004,0.012
KRW-FIL,FILUSDT,32,59,17,17,0.5312,0.5312,0.0041,0.0124
KRW-HBAR,HBARUSDT,22,46,7,7,0.3182,0.3182,0.0032,0.0097
KRW-INJ,INJUSDT,31,48,13,15,0.4194,0.4839,0.0034,0.0101
KRW-JTO,JTOUSDT,28,32,18,19,0.6429,0.6786,0.0022,0.0067
KRW-JUP,JUPUSDT,35,47,13,13,0.3714,0.3714,0.0033,0.0099
KRW-KAITO,KAITOUSDT,31,37,10,12,0.3226,0.3871,0.0026,0.0078
KRW-KITE,KITEUSDT,25,34,10,11,0.4,0.44,0.0024,0.0071
KRW-LINK,LINKUSDT,39,50,18,21,0.4615,0.5385,0.0035,0.0105
KRW-NEAR,NEARUSDT,36,51,14,17,0.3889,0.4722,0.0036,0.0107
KRW-O,OUSDT,5,6,3,3,0.6,0.6,0.0004,0.0013
KRW-PENDLE,PENDLEUSDT,34,46,14,16,0.4118,0.4706,0.0032,0.0097
KRW-PENGU,PENGUUSDT,41,61,19,19,0.4634,0.4634,0.0043,0.0128
KRW-PEPE,1000PEPEUSDT,29,53,16,17,0.5517,0.5862,0.0037,0.0111
KRW-PUMP,PUMPUSDT,41,61,16,18,0.3902,0.439,0.0043,0.0128
KRW-RENDER,RENDERUSDT,40,45,17,17,0.425,0.425,0.0031,0.0094
KRW-SEI,SEIUSDT,27,40,13,15,0.4815,0.5556,0.0028,0.0084
KRW-SHIB,1000SHIBUSDT,27,42,14,15,0.5185,0.5556,0.0029,0.0088
KRW-SUI,SUIUSDT,42,55,27,29,0.6429,0.6905,0.0038,0.0115
KRW-TAO,TAOUSDT,31,43,15,16,0.4839,0.5161,0.003,0.009
KRW-TRUMP,TRUMPUSDT,33,58,25,27,0.7576,0.8182,0.0041,0.0122
KRW-TRX,TRXUSDT,30,56,9,11,0.3,0.3667,0.0039,0.0118
KRW-UNI,UNIUSDT,37,51,20,23,0.5405,0.6216,0.0036,0.0107
KRW-VIRTUAL,VIRTUALUSDT,36,50,24,25,0.6667,0.6944,0.0035,0.0105
KRW-VVV,VVVUSDT,11,31,3,4,0.2727,0.3636,0.0022,0.0065
KRW-WLFI,WLFIUSDT,36,46,17,20,0.4722,0.5556,0.0032,0.0097
KRW-XAUT,XAUTUSDT,17,26,1,1,0.0588,0.0588,0.0018,0.0055
KRW-XPL,XPLUSDT,31,48,13,14,0.4194,0.4516,0.0034,0.0101
KRW-ZBT,ZBTUSDT,32,31,10,12,0.3125,0.375,0.0022,0.0065
KRW-ZRO,ZROUSDT,28,41,15,16,0.5357,0.5714,0.0029,0.0086
