kst_hour,upbit_A,upbit_B,binance_A,binance_B
0,133,205,274,421
1,74,118,192,352
2,53,82,133,252
3,52,77,205,260
4,37,49,147,238
5,38,69,117,285
6,85,127,97,194
7,91,134,147,216
8,103,140,177,168
9,383,750,150,332
10,259,257,177,216
11,167,203,160,217
12,143,175,133,169
13,145,229,103,175
14,221,228,161,225
15,168,220,147,200
16,184,236,179,226
17,166,267,164,296
18,176,224,180,228
19,186,213,180,257
20,133,235,128,240
21,197,283,223,430
22,261,261,1129,1563
23,227,281,461,611
