utc,cluster_size,btc_ret15,symbols
2026-04-05T00:15:00+00:00,1,0.00011,ETCUSDT
2026-04-05T01:00:00+00:00,1,-0.00028,ORDIUSDT
2026-04-05T03:30:00+00:00,1,-0.00021,PENDLEUSDT
2026-04-05T04:45:00+00:00,1,-0.00055,BCHUSDT
2026-04-05T06:00:00+00:00,2,-0.00426,LTCUSDT|ONDOUSDT
2026-04-05T06:15:00+00:00,1,0.00165,ENAUSDT
2026-04-05T12:00:00+00:00,1,-0.00135,PENDLEUSDT
2026-04-05T12:30:00+00:00,1,-0.00212,XPLUSDT
2026-04-05T17:00:00+00:00,1,0.00112,EPICUSDT
2026-04-06T04:00:00+00:00,1,-0.00077,LITUSDT
2026-04-06T05:15:00+00:00,1,0.00014,LABUSDT
2026-04-06T08:45:00+00:00,1,-0.00111,EPICUSDT
2026-04-06T11:45:00+00:00,1,-0.00041,PENDLEUSDT
2026-04-06T13:15:00+00:00,1,0.00086,INTCUSDT
2026-04-06T13:45:00+00:00,2,0.00154,COINUSDT|CRCLUSDT
2026-04-06T14:00:00+00:00,2,-0.00121,LABUSDT|TSLAUSDT
2026-04-06T16:15:00+00:00,1,-0.00236,AAVEUSDT
2026-04-06T17:00:00+00:00,1,-0.00644,XLMUSDT
2026-04-06T22:30:00+00:00,1,-0.00197,VVVUSDT
2026-04-06T23:00:00+00:00,2,-0.00308,ADAUSDT|AVAXUSDT
2026-04-07T04:15:00+00:00,2,-0.00095,ALGOUSDT|ETCUSDT
2026-04-07T08:15:00+00:00,1,0.00041,ZBTUSDT
2026-04-07T09:15:00+00:00,1,-0.00064,LABUSDT
2026-04-07T10:15:00+00:00,1,-0.00251,AAVEUSDT
2026-04-07T12:00:00+00:00,3,-0.00099,1000SHIBUSDT|ORDIUSDT|PENGUUSDT
2026-04-07T13:30:00+00:00,2,-0.00214,COINUSDT|TSLAUSDT
2026-04-07T13:45:00+00:00,1,-0.00148,INTCUSDT
2026-04-07T14:00:00+00:00,1,-0.00503,DOTUSDT
2026-04-07T20:30:00+00:00,1,-0.00089,LABUSDT
2026-04-07T21:30:00+00:00,1,0.00459,DEXEUSDT
2026-04-07T23:00:00+00:00,3,-0.00035,DASHUSDT|DOTUSDT|LITUSDT
2026-04-07T23:30:00+00:00,3,-0.0103,AAVEUSDT|AVAXUSDT|MSTRUSDT
2026-04-08T01:00:00+00:00,1,-0.00039,LABUSDT
2026-04-08T03:30:00+00:00,1,-0.00149,PENDLEUSDT
2026-04-08T07:00:00+00:00,1,0.00045,AKEUSDT
2026-04-08T07:30:00+00:00,1,-0.00225,HBARUSDT
2026-04-08T08:00:00+00:00,1,0.00097,LITUSDT
2026-04-08T08:45:00+00:00,1,0.00098,KAITOUSDT
2026-04-08T09:15:00+00:00,1,-0.00195,LABUSDT
2026-04-08T11:30:00+00:00,1,-0.00194,1000SHIBUSDT
2026-04-08T13:30:00+00:00,7,-0.01117,AMZNUSDT|COINUSDT|CRCLUSDT|HOODUSDT|MSTRUSDT|PLTRUSDT|TSLAUSDT
2026-04-08T14:15:00+00:00,2,-0.00068,DASHUSDT|XMRUSDT
2026-04-08T14:30:00+00:00,4,-0.0052,1000BONKUSDT|AAVEUSDT|INTCUSDT|SUIUSDT
2026-04-08T15:30:00+00:00,1,9e-05,JUPUSDT
2026-04-08T15:45:00+00:00,1,0.00165,LABUSDT
2026-04-08T16:30:00+00:00,1,0.0008,TLMUSDT
2026-04-08T18:30:00+00:00,1,-0.00126,TACUSDT
2026-04-08T18:45:00+00:00,2,-0.00281,XMRUSDT|ZROUSDT
2026-04-08T20:15:00+00:00,1,3e-05,LABUSDT
2026-04-08T22:15:00+00:00,1,-0.00392,WLFIUSDT
2026-04-08T23:00:00+00:00,2,0.00151,FARTCOINUSDT|LITUSDT
2026-04-09T00:00:00+00:00,3,-0.00095,ARBUSDT|DASHUSDT|TIAUSDT
2026-04-09T03:30:00+00:00,1,-0.0001,ONDOUSDT
2026-04-09T05:45:00+00:00,1,-0.00072,FARTCOINUSDT
2026-04-09T11:00:00+00:00,1,-0.00105,KAITOUSDT
2026-04-09T12:30:00+00:00,1,-0.00093,MAGMAUSDT
2026-04-09T13:15:00+00:00,1,-0.0001,INTCUSDT
2026-04-09T13:30:00+00:00,4,-0.003,COINUSDT|CRCLUSDT|HOODUSDT|PLTRUSDT
2026-04-09T13:45:00+00:00,3,-0.00129,BCHUSDT|MSTRUSDT|TSLAUSDT
2026-04-09T15:00:00+00:00,1,0.00305,EVAAUSDT
2026-04-09T16:30:00+00:00,1,-0.00125,FARTCOINUSDT
