utc,cluster_size,btc_ret15,symbols
2026-04-05T00:00:00+00:00,1,-0.00039,KRW-GAS
2026-04-05T01:15:00+00:00,1,0.00063,KRW-ZKP
2026-04-05T01:30:00+00:00,2,-0.00085,KRW-ID|KRW-PENDLE
2026-04-05T02:15:00+00:00,1,0.0023,KRW-BERA
2026-04-05T05:15:00+00:00,1,-0.00032,KRW-ZBT
2026-04-05T06:00:00+00:00,1,-0.00273,KRW-ATOM
2026-04-05T07:15:00+00:00,1,-0.00106,KRW-ID
2026-04-05T12:15:00+00:00,1,-0.00084,KRW-ZBT
2026-04-05T12:30:00+00:00,5,-0.00097,KRW-BCH|KRW-BERA|KRW-BIGTIME|KRW-IN|KRW-MMT
2026-04-05T12:45:00+00:00,1,0.00151,KRW-MIRA
2026-04-05T13:00:00+00:00,1,0.00014,KRW-ID
2026-04-05T13:15:00+00:00,2,-0.00129,KRW-ME|KRW-OPEN
2026-04-05T19:15:00+00:00,1,0.00025,KRW-MMT
2026-04-06T00:00:00+00:00,1,0.00202,KRW-MMT
2026-04-06T01:30:00+00:00,2,-0.0019,KRW-AVAX|KRW-IN
2026-04-06T03:15:00+00:00,1,-0.00037,KRW-SHIB
2026-04-06T05:30:00+00:00,1,-4e-05,KRW-RED
2026-04-06T06:00:00+00:00,1,0.00186,KRW-IN
2026-04-06T06:15:00+00:00,1,-0.00677,KRW-PENDLE
2026-04-06T06:30:00+00:00,1,0.00231,KRW-MMT
2026-04-06T07:45:00+00:00,1,0.00148,KRW-TREE
2026-04-06T09:00:00+00:00,2,0.00429,KRW-ATOM|KRW-COW
2026-04-06T09:15:00+00:00,1,0.00445,KRW-ERA
2026-04-06T09:30:00+00:00,1,-0.00185,KRW-RED
2026-04-06T11:15:00+00:00,1,-0.00128,KRW-HOLO
2026-04-06T11:45:00+00:00,3,-0.00066,KRW-PENDLE|KRW-PLUME|KRW-TREE
2026-04-06T12:30:00+00:00,1,-0.00078,KRW-FIL
2026-04-06T12:45:00+00:00,1,-0.00135,KRW-MIRA
2026-04-06T13:15:00+00:00,1,0.0006,KRW-AVNT
2026-04-06T13:45:00+00:00,2,0.00126,KRW-COW|KRW-RED
2026-04-06T14:00:00+00:00,1,-0.00211,KRW-ERA
2026-04-06T14:15:00+00:00,2,0.0036,KRW-FF|KRW-MET2
2026-04-06T16:00:00+00:00,2,0.0016,KRW-SOPH|KRW-TREE
2026-04-06T17:30:00+00:00,1,-0.00161,KRW-FLOCK
2026-04-06T18:45:00+00:00,1,0.001,KRW-RED
2026-04-06T19:30:00+00:00,1,-0.00065,KRW-HYPER
2026-04-06T21:45:00+00:00,1,-0.00018,KRW-TREE
2026-04-06T22:45:00+00:00,1,-0.00405,KRW-RED
2026-04-06T23:00:00+00:00,1,-0.00257,KRW-AVAX
2026-04-06T23:15:00+00:00,1,-0.00148,KRW-BIGTIME
2026-04-07T00:00:00+00:00,3,0.00104,KRW-AVNT|KRW-ERA|KRW-MIRA
2026-04-07T00:15:00+00:00,1,0.00145,KRW-ELSA
2026-04-07T01:30:00+00:00,1,-0.00083,KRW-EDGE
2026-04-07T01:45:00+00:00,1,-0.00313,KRW-CFG
2026-04-07T03:00:00+00:00,2,0.00117,KRW-ESP|KRW-RED
2026-04-07T04:15:00+00:00,1,-0.0008,KRW-ETC
2026-04-07T05:30:00+00:00,2,-0.00041,KRW-AVAX|KRW-ELSA
2026-04-07T05:45:00+00:00,1,-0.00015,KRW-EDGE
2026-04-07T06:30:00+00:00,1,-0.00025,KRW-BIRB
2026-04-07T07:00:00+00:00,1,0.0001,KRW-ESP
2026-04-07T07:45:00+00:00,2,1e-05,KRW-LAYER|KRW-TREE
2026-04-07T08:00:00+00:00,1,0.0008,KRW-ME
2026-04-07T08:15:00+00:00,3,-6e-05,KRW-INJ|KRW-MET2|KRW-ZBT
2026-04-07T08:45:00+00:00,1,-0.00033,KRW-RED
2026-04-07T10:00:00+00:00,2,-0.00249,KRW-AAVE|KRW-ZKP
2026-04-07T10:45:00+00:00,1,-0.00391,KRW-ENSO
2026-04-07T11:00:00+00:00,1,0.00169,KRW-FF
2026-04-07T11:15:00+00:00,1,0.00061,KRW-ESP
2026-04-07T12:00:00+00:00,2,-0.0018,KRW-BSV|KRW-XEC
2026-04-07T12:15:00+00:00,1,0.00169,KRW-EDGE
2026-04-07T12:30:00+00:00,3,-0.00084,KRW-BARD|KRW-SNT|KRW-ZORA
2026-04-07T12:45:00+00:00,1,0.00079,KRW-RED
2026-04-07T15:30:00+00:00,1,-0.00078,KRW-ESP
2026-04-07T23:15:00+00:00,1,0.01482,KRW-MON
2026-04-07T23:30:00+00:00,1,-0.01035,KRW-AAVE
2026-04-08T00:00:00+00:00,1,-0.00566,KRW-WLFI
2026-04-08T00:15:00+00:00,1,0.00143,KRW-AVAX
2026-04-08T00:45:00+00:00,1,-0.00238,KRW-IN
2026-04-08T01:45:00+00:00,1,-0.00085,KRW-0G
2026-04-08T07:30:00+00:00,1,-0.00212,KRW-PYTH
2026-04-08T08:45:00+00:00,2,0.00047,KRW-KAITO|KRW-OPEN
2026-04-08T09:00:00+00:00,1,0.00161,KRW-SOPH
2026-04-08T09:30:00+00:00,1,-0.00186,KRW-COW
2026-04-08T11:30:00+00:00,1,-0.00188,KRW-PENGU
2026-04-08T13:30:00+00:00,2,-0.00945,KRW-MON|KRW-NEAR
2026-04-08T13:45:00+00:00,1,-0.00102,KRW-IN
2026-04-08T14:00:00+00:00,1,-0.00147,KRW-KAITO
2026-04-08T22:15:00+00:00,1,-0.00338,KRW-WLFI
2026-04-09T00:30:00+00:00,1,-0.00259,KRW-IN
2026-04-09T01:00:00+00:00,2,-0.00176,KRW-POL|KRW-SOPH
2026-04-09T01:15:00+00:00,1,0.00039,KRW-BORA
2026-04-09T07:00:00+00:00,1,0.00102,KRW-IN
2026-04-09T07:30:00+00:00,1,0.00026,KRW-HOLO
