symbol,fill_ratio,A_base,A_real_only,B_base,B_real_only
KRW-SHIB,0.0025,27,27,46,46
KRW-KAITO,0.0324,31,30,40,39
KRW-SUI,0.0027,42,42,51,51
KRW-MMT,0.0879,33,30,38,35
KRW-LINK,0.0035,39,39,95,94
KRW-PUMP,0.0859,41,35,68,62
KRW-NEAR,0.0036,36,36,71,70
KRW-ZBT,0.0341,31,30,48,48
KRW-LA,0.0295,27,25,42,42
KRW-CHIP,0.0242,20,20,34,34
KRW-QUID,0.0101,0,0,0,0
KRW-PENGU,0.0093,41,41,71,71
KRW-AVAX,0.0076,52,52,64,62
KRW-VIRTUAL,0.0057,36,36,52,51
KRW-MOVE,0.0223,32,32,33,33
KRW-UNI,0.0223,40,38,60,56
KRW-PIEVERSE,0.022,11,10,15,15
KRW-PRL,0.0689,19,17,23,23
KRW-HBAR,0.0114,22,22,51,50
KRW-ONT,0.0787,35,32,43,41
KRW-ENSO,0.0128,33,33,41,41
KRW-XPL,0.0176,31,31,45,45
KRW-SAHARA,0.0084,21,21,29,29
KRW-AAVE,0.0186,38,38,81,80
KRW-ARX,0.0146,4,4,7,7
KRW-TRX,0.0027,31,31,50,50
KRW-HOLO,0.0589,28,27,26,25
KRW-WLFI,0.0392,36,34,47,45
KRW-BCH,0.0106,47,46,64,64
KRW-DATA,0.0084,25,25,41,40
KRW-PLUME,0.0879,28,27,56,51
KRW-ARB,0.0423,38,38,85,84
KRW-STORJ,0.1535,32,27,42,39
KRW-BONK,0.0242,37,36,61,61
KRW-ETC,0.0079,50,50,54,54
KRW-ESP,0.1272,22,19,33,28
KRW-0G,0.0245,36,34,33,33
KRW-META2,0.0574,0,0,0,0
KRW-BSB,0.0747,0,0,0,0
KRW-ERA,0.1766,38,34,36,33
KRW-MIRA,0.0539,28,28,42,40
KRW-SAND,0.0188,35,34,49,49
KRW-PEPE,0.012,29,29,51,51
KRW-POL,0.0371,22,19,71,69
KRW-STX,0.0172,41,41,43,43
KRW-IRYS,0.0263,7,7,15,15
KRW-AXS,0.0158,31,30,35,35
KRW-TAO,0.0134,31,31,47,47
KRW-ALGO,0.0398,19,16,60,56
KRW-JTO,0.0256,28,28,37,35
KRW-CC,0.0612,27,27,30,29
KRW-BIRB,0.0919,32,30,41,38
KRW-ME,0.0449,26,26,29,28
KRW-SEI,0.0124,28,28,44,44
KRW-ENS,0.0189,38,38,40,40
KRW-ZRO,0.0385,28,27,47,46
KRW-TRUMP,0.0116,33,31,42,42
KRW-XEC,0.0693,27,25,42,39
KRW-RVN,0.1081,30,27,35,33
KRW-ZAMA,0.087,24,23,27,25
